year,id_news,local,national,after_national,po_cst,ps_cst,ra_cst,rs_cst,qs_s,qtotal,ads_s,ads_p4_cst,ra_cst_div_qtotal
1963,184,1,0,0,2.742,2.2996473,19142926,36740000,48.87054739,53292.22076,14.318181,,359.2067609
1964,184,1,0,0,2.6520002,2.2170608,20207106,34507544,48.87054739,51655.95916,23.875002,,391.1863477
1965,184,1,0,0,2.589,2.164393,24874142,35680300,42.5312346,55446.31761,11.45,119.95699,448.6166633
1966,184,1,0,0,2.52,2.1948385,22860826,34915536,45.83288081,56278.18573,14.266667,116.759995,406.2111403
1967,184,1,0,0,3.272,2.8855016,22181228,46321384,46.34199369,57389.8013,20.159575,122.904495,386.5012162
1968,184,1,0,0,3.91,3.4165049,21501630,53119772,46.59800592,55378.0725,12.15625,31.28,388.2697434
1969,184,1,0,0,3.675,3.2008064,33075058,49335052,45.54087982,54844.1587,11.5625,32.34,603.0734865
1970,184,1,0,0,3.495,3.0440323,30988222,46073890,40.2173913,55656.32,18.75,31.688,556.7781341
1971,184,1,0,0,3.305,4.0512905,30770410,46155610,35.16483516,55752.06,9.1,112.10559,551.9152117
1972,184,1,0,0,4.361,3.8307445,34646588,51969892,36.26373626,54635.49,20.800001,124.6,634.1407023
1973,184,1,0,0,3.99,3.5048544,36489084,44607904,47.25274725,54073.11,15.5,129.2,674.8101598
1974,184,1,0,0,4.4088,3.891262,37637400,58618780,43.95604396,53545.31,16.133333,132.765,702.9075002
1960,185,1,0,0,2.595,2.249,7280309.5,12602832,25.09879031,19004.9,12.895833,,383.0753911
1961,185,1,0,0,2.51,2.1753333,7488716,12364180,25.6091239,19290,11.8125,,388.217522
1962,185,1,0,0,2.395,2.0756667,7775818.5,11506877,26.27401416,19780,11.104166,11.975,393.1151921
1963,185,1,0,0,2.742,2.3757946,8096376.5,13658237,25,20037.6,13.979167,12.339,404.0591937
1964,185,1,0,0,2.6520002,2.2752132,8631933,13436599,22.48268557,20402.98998,19.6875,11.934,423.0719619
1965,185,1,0,0,2.589,2.3355114,9623011,13523843,22.34042553,20908.42,12.791666,11.6505,460.2457288
1966,185,1,0,0,2.52,2.2657895,9562434,13367896,21.91457407,21196.58636,15.208334,11.34,451.130849
1967,185,1,0,0,3.272,2.9621925,9958087,17496644,22.17438105,21512.853,14.326922,11.043,462.890115
1968,185,1,0,0,3.519,3.498421,9951474,18231354,21.97109638,20264.0857,14.293103,10.85025,491.089218
1969,185,1,0,0,3.675,3.3099337,10336562,18450144,21.03542234,20186.835,14.532258,11.025,512.0447064
1970,185,1,0,0,3.495,3.1168525,9814869,18391376,19.78021978,21133.84,13.785714,10.770954,464.4148437
1971,185,1,0,0,3.305,2.9668646,11042917,17817684,20.65217391,21805.84,13.151516,10.9065,506.4201608
1972,185,1,0,0,4.361,3.4953794,11951956,20977046,22.22222222,18129.6,16.666666,10.2795,659.2509487
1973,185,1,0,0,3.99,3.5742574,12397853,21230346,22.00733578,21815.0259,17.452381,9.405,568.3171341
1974,185,1,0,0,4.4088,3.5756187,12501483,22344194,21.97802198,21636.16,14.1,10.64625,577.8050726
1960,187,1,0,0,,,,,,,20.12195,,
1961,187,1,0,0,2.51,2.1703632,33746172,19786918,12.49920177,70468.5,23.581396,,478.8830754
1962,187,1,0,0,2.395,2.0641117,36435796,19757252,14.78721822,73949,7.6923075,,492.7151956
1963,187,1,0,0,2.742,2.3679538,37959844,22611830,10.55480337,73999.02625,8.961538,50.27,512.977615
1964,187,1,0,0,2.6520002,2.2752132,38587332,22440798,10.52337267,75423.08746,12.533333,48.62,511.6116735
1965,187,1,0,0,2.589,2.3355114,40722304,23068302,10.28507527,79380.61333,5.166667,47.465,513.0006218
1966,187,1,0,0,2.52,2.2657895,43545868,23293394,10.18350679,81985.63575,6.9999995,100.72,531.1402126
1967,187,1,0,0,3.272,2.9621925,44858196,30720256,10.13695555,83975.716,13.584907,153.97499,534.1805719
1968,187,1,0,0,3.91,3.5099669,45234320,35830180,10.15391684,81593.5026,10.8529415,207.23,554.3862999
1969,187,1,0,0,3.675,3.3209302,53347720,32388252,9.627258175,79690.0536,9.676471,194.775,669.440132
1970,187,1,0,0,3.495,3.1271052,53424212,31244048,9.195402299,82139.31,13.184211,213.894,650.4097977
1971,187,1,0,0,3.305,2.9766886,57678068,29237656,9.195402299,83471.28,7.4411764,218.13,690.9929739
1972,187,1,0,0,4.361,3.6270547,64586716,38893996,10.34482759,81369.36,14.052632,218.05,793.7473762
1973,187,1,0,0,3.99,3.5980065,69869730,38698144,10.34482759,83435.61,10.444445,204.25,837.4089912
1974,187,1,0,0,4.4088,3.6376238,60158984,39531050,10.34482759,81277.14,12.411765,220.44,740.1710247
1960,196,1,0,0,2.595,1.8678297,127721170,170981390,6.264980441,229322.344,29.489796,,556.9503947
1961,196,1,0,0,2.51,1.8066484,136400750,142472510,7.272625136,195816.5,31.980001,,696.5743438
1962,196,1,0,0,2.395,1.7238736,142900030,136216050,5.937279536,194887.2363,29.755102,45.505,733.2446839
1963,196,1,0,0,2.742,2.0198922,139633150,132793010,6.055795117,198149.2787,28.968748,50.27,704.6866429
1964,196,1,0,0,2.6520002,2.3159106,176721520,129369976,6.165396526,197691.1286,32.454544,,893.9274174
1965,196,1,0,0,2.589,2.268141,180329900,135319890,6.187717428,215006.0945,27.038462,,838.7199462
1966,196,1,0,0,2.52,2.2076924,176083040,132100050,6.436834107,213815.2062,34.68868,,823.5290797
1967,196,1,0,0,3.272,2.8761935,171220450,167312160,6.32550718,207452.456,25.722221,,825.3479053
1968,196,1,0,0,3.91,3.2583332,174204780,185393490,6.55964892,192963.2173,27.18421,,902.7874972
1969,196,1,0,0,3.675,3.0625,191933540,169703650,6.327213948,187616.3142,28.158731,,1023.01093
1970,196,1,0,0,3.495,2.9125,183010400,161081460,5.681818182,192421.68,25.940298,,951.0903345
1971,196,1,0,0,3.305,2.7541666,174087280,164041400,5.681818182,196361.44,22.868055,,886.565509
1972,196,1,0,0,4.361,3.79391,188717520,198055570,6.818181818,188765.28,30.535212,,999.7469874
1973,196,1,0,0,3.99,3.482315,153030030,197125920,6.818181818,193979.28,30.652777,,788.8988453
1974,196,1,0,0,4.4088,3.6568167,140608880,204433020,6.626167173,188301.0204,32.142857,,746.7239407
1960,206,1,0,0,2.595,2.155591,78472800,98038790,34.98798752,168294.904,23.52381,,466.2814983
1961,206,1,0,0,2.51,2.0916667,99898000,98730104,35.70824397,176242.2147,27.390244,,566.8222008
1962,206,1,0,0,2.395,2.0152104,98386600,102670584,34.08939046,192892.8594,25.151163,76.64,510.0582796
1963,206,1,0,0,2.742,2.3663433,101143240,125432590,29.19413045,202286.3765,23.267443,73.12,500.0002559
1964,206,1,0,0,2.6520002,2.2812903,108811560,125583560,28.46334084,208648.5483,27.908163,70.72,521.5064321
1965,206,1,0,0,2.589,2.3384516,117721830,129814280,27.90226171,217743.4243,24.11702,73.64267,540.6447077
1966,206,1,0,0,2.52,2.276129,124847464,131212270,13.95100031,222696.0133,25.697916,73.92,560.6183162
1967,206,1,0,0,3.272,2.8855016,122321510,172642740,10.95355528,239676.7764,24.51,85.89,510.3602937
1968,206,1,0,0,3.91,3.4418123,127435520,200284210,10.89033659,220105.185,27.710001,82.11,578.9755475
1969,206,1,0,0,3.675,3.3099337,152249220,182772020,11.32626569,218347.902,28.296295,77.175,697.2781447
1970,206,1,0,0,3.495,3.076505,162323540,183336590,10.86956522,219751.2,33.225807,80.385,738.6696409
1971,206,1,0,0,3.305,2.9092557,168344130,175958960,10.75268817,224409.93,27.92742,76.015,750.163462
1972,206,1,0,0,4.361,3.8431816,195278610,213904300,9.677419355,219404.67,31.328358,80.99,890.0385302
1973,206,1,0,0,3.99,3.5276873,223941360,205185100,9.279336735,220420.9728,34.29054,79.8,1015.971199
1974,206,1,0,0,4.4088,3.952695,268614400,222056930,8.510638298,215477.14,37.435066,82.665,1246.602772
1960,210,1,0,0,,,,,,,19,,
1961,210,1,0,0,2.51,,19076000,,7.124782859,40843.35,22.24468,,467.052776
1962,210,1,0,0,2.395,2.4104517,31135000,75425370,6.222222222,47250,19.650942,,658.9417989
1963,210,1,0,0,2.742,2.3603299,31441600,105321656,3.586848237,49096.16156,23.730768,,640.4085167
1964,210,1,0,0,2.6520002,2.3314288,45084000,107569800,3.585217886,51781.99928,21.563637,,870.6500449
1965,210,1,0,0,2.589,2.2760441,44876000,110343960,3.597601593,54339.50245,20.071428,,825.8448822
1966,210,1,0,0,2.52,2.2153847,46200000,112077530,3.754831682,56662.56812,24.330507,,815.3530899
1967,210,1,0,0,3.272,3.0505524,47444000,152039500,3.825136612,59345.985,18.508472,,799.4475111
1968,210,1,0,0,3.7145,3.104039,50830000,168439380,3.847418612,58660.89,20.383335,,866.5057758
1969,210,1,0,0,3.675,3.5564516,51260944,144165700,3.498190591,58475.5875,21.90476,,876.6212738
1970,210,1,0,0,3.495,3.3605769,48594480,52239064,3.296703297,59329.27,24.849998,,819.064182
1971,210,1,0,0,3.305,3.1778846,55524000,59490000,4.347826087,73027.76,17.753624,,760.3136122
1972,210,1,0,0,4.361,3.9195364,57316000,750715000,4.912663755,75414.28,23.373238,,760.015212
1973,210,1,0,0,3.99,3.4935484,56430000,77520000,4.309392265,78642.69,22.36,,717.549209
1974,210,1,0,0,4.4088,3.7856915,52605000,84168000,4.444444444,77005.8,23.66892,,683.1303616
1960,212,1,0,0,,,,,,,12.200001,,
1961,212,1,0,0,,,,,,,15.406249,,
1962,212,1,0,0,,,,,,,15.930555,,
1963,212,1,0,0,,,,,,,14.794118,,
1964,212,1,0,0,,,,,,,14.041504,,
1965,212,1,0,0,2.589,2.1076567,9698721,14424669,22.09944751,21376.1,13.288889,12.082,453.7179841
1966,212,1,0,0,2.52,2.058278,12427052,13020667,22.34636872,22523.57,14.590908,13.524,551.7354487
1967,212,1,0,0,3.272,2.708961,12187693,18310912,21.7270195,23753.235,20.05319,13.1698,513.096132
1968,212,1,0,0,3.91,3.2926316,11525937,22762254,20.62146893,24472.905,17.211538,12.5902,470.9672595
1969,212,1,0,0,3.675,3.1152318,13382248,21486836,20.33898305,24554.325,15.719298,11.8335,545.0057373
1970,212,1,0,0,3.495,2.9528713,13187474,21745380,23.33333333,26451,16.933334,11.253901,498.5623984
1971,212,1,0,0,3.305,2.7923434,14761968,21952974,24.44444444,28449,17.090162,10.6421,518.8923336
1972,212,1,0,0,4.361,3.403808,18636484,26749582,25,28538.4,20.723076,11.214,653.0318448
1973,212,1,0,0,3.99,3.124585,20093424,27158066,26.13636364,29583.84,16.19853,10.259999,679.2026999
1974,212,1,0,0,4.4088,3.4953487,19791388,28831614,26.43678161,29355.54,17.273333,13.7775,674.1960121
1960,213,1,0,0,2.595,2.2364802,22136056,32103160,42.87482502,59417.15211,12.219512,,372.5532984
1961,213,1,0,0,2.51,2.1632237,19314296,30190732,44.47910699,57914.8318,13.0625,,333.494813
1962,213,1,0,0,2.395,2.0241613,28849118,30069834,44.08877722,59700,4.5,23.95,483.2348074
1963,213,1,0,0,2.742,2.3601644,27924364,39353880,40.70981203,65623.00013,9,28.791,425.5270857
1964,213,1,0,0,2.6520002,2.2826974,32073498,41001590,41.89745921,68378.75007,7.714286,30.94,469.056512
1965,213,1,0,0,2.589,2.3126144,31633732,41809176,43.08510638,71134.5,13.833334,30.205,444.7030906
1966,213,1,0,0,2.52,2.2657895,32203238,40989348,42.55319149,72666.7,19.900002,29.4,443.1636224
1967,213,1,0,0,3.272,2.8761935,38582010,55928052,31.91489362,75200,10.390625,128.835,513.0586436
1968,213,1,0,0,3.91,3.4755557,37968500,64638160,37.23404255,75670,19.300001,142.324,501.7642395
1969,213,1,0,0,3.675,3.277377,39874212,57711588,38.29787234,74918,14.157895,133.77,532.2380736
1970,213,1,0,0,3.49,3.088624,42877950,56843400,38.50377488,77170,22.611109,127.218,555.6297784
1971,213,1,0,0,3.305,2.8998709,45881696,55975212,38.70967742,79422,14,120.302,577.6950467
1972,213,1,0,0,4.361,3.7179034,51365160,63358550,37.6344086,76539,17.978262,113.386,671.0978717
1973,213,1,0,0,4.56,3.9245903,58819896,70714510,41.4893617,77080,22,99.75,763.1019201
1974,213,1,0,0,4.4088,4.0112743,52663770,73358940,42.11782576,74794.1116,9,112.725,704.1165257
1960,224,1,0,0,2.595,2.1652548,142687090,190172620,20.39483882,299585.5987,20.195654,,476.2815389
1961,224,1,0,0,2.51,2.1145337,150401300,182034540,19.36835051,298425,21.02174,,503.9835805
1962,224,1,0,0,2.395,2.011186,145171490,183214640,18.91429282,313731,21.133333,81.43,462.7259977
1963,224,1,0,0,2.742,2.3142948,159324270,236144210,20.12248436,325526.3985,20.173912,123.39,489.4357899
1964,224,1,0,0,2.6520002,2.231182,170735760,215164380,19.28172629,337007.6997,23.456522,119.34,506.6227274
1965,224,1,0,0,2.589,2.240481,172476370,224162180,19.23624013,358751.4463,20.306122,116.505,480.7684311
1966,224,1,0,0,2.52,2.1807692,192325140,223451330,19.21225333,367434.3965,21.817307,113.4,523.4271528
1967,224,1,0,0,2.863,2.8855016,203155980,265007490,19.30288992,376452.9576,17.7,129.92566,539.6583448
1968,224,1,0,0,3.519,3.4087179,194120540,312287780,21.15812918,360636.8,20.330189,125.902,538.2715796
1969,224,1,0,0,3.675,3.2245162,226720980,314174180,20.61511032,356537.02,18.172413,123.479996,635.8974448
1970,224,1,0,0,3.495,3.0469232,232180670,316273730,20,365805,22.423079,125.82,634.7115813
1971,224,1,0,0,3.305,2.8905466,238591780,311116030,19.78021978,382163.6,18.715384,122.285,624.3184333
1972,224,1,0,0,4.361,4.218229,256547040,342565900,20,376083,20.989834,124.6,682.1553753
1973,224,1,0,0,3.99,3.5854838,284996700,372540160,20.48313481,377312.0507,23.264284,122.18727,755.3342107
1974,224,1,0,0,4.4088,3.9951127,269147070,394866940,20.2247191,380447.41,18.181818,116.06501,707.4488166
1960,225,1,0,0,,,,,,,13.065789,,
1961,225,1,0,0,,,,,,,13.44186,,
1962,225,1,0,0,,,,,,,7.266667,125.498,
1963,225,1,0,0,,,,,,,11.033334,122.78067,
1964,225,1,0,0,,,,,,,21.9375,119.34,
1965,225,1,0,0,2.589,2.282774,60410000,68473944,13.33333333,124200,12.133333,116.505,486.3929147
1966,225,1,0,0,2.52,2.2219353,67200000,68580890,13.33333333,127800,23.46875,113.4,525.8215962
1967,225,1,0,0,3.272,2.8761935,81800000,92146984,13.33333333,132300,19.416668,110.43,618.2917611
1968,225,1,0,0,3.91,3.4307096,93840000,110418440,13.88888889,130500,17.275002,173.34332,719.0804598
1969,225,1,0,0,3.675,3.2245162,100424990,108076460,13.88888889,135900,20.710526,194.775,738.9623988
1970,225,1,0,0,3.495,3.076505,99204870,112736344,13.48314607,141510,46.333336,213.894,701.0449438
1971,225,1,0,0,3.305,2.9092557,101864730,111940616,14.77272727,146080,14.976191,218.13,697.3215361
1972,225,1,0,0,4.361,3.4164517,97501990,105848320,15.90909091,147840,18.736841,218.05,659.5102137
1973,225,1,0,0,3.99,3.5162337,119103210,137915950,15.90909091,152240,14.868422,204.25,782.3384787
1974,225,1,0,0,4.4088,3.5480654,119079180,144979070,15.06849315,153300,12.861112,220.44,776.7722114
1960,234,1,0,0,2.595,2.1791346,,35155628,14.73296501,81450,,,
1961,234,1,0,0,2.51,2.233953,,34164372,14.65201465,81900,,,
1962,234,1,0,0,2.626,2.2887714,,33173116,15.17560513,85663.7998,,,
1963,234,1,0,0,2.742,2.3435898,44327000,32181860,14.00560224,71400,,,620.8263305
1964,234,1,0,0,2.6520002,2.6520002,46715360,39851776,9.294513072,75226.32016,,,620.9975432
1965,234,1,0,0,2.589,2.3309324,49103716,40421092,13.70786495,84550,,151.025,580.7654169
1966,234,1,0,0,2.52,2.2615385,46695424,38177590,13.70786495,81810.58,,147,570.7748802
1967,234,1,0,0,3.272,2.9233444,53035692,54276530,13.48314607,82534.15,,205.8,642.590879
1968,234,1,0,0,3.91,3.578644,39102410,61776132,14.44444444,82018.8,,264.6,476.749355
1969,234,1,0,0,3.675,3.2008064,40835940,48849236,14.44444444,82837.8,,323.4,492.962633
1970,234,1,0,0,3.495,3.0245192,43532460,65176160,10.11235955,88586.15,,307.56,491.4138384
1971,234,1,0,0,3.305,2.8692927,44402080,65862476,9.89010989,87119.76,,290.84,509.6671524
1972,234,1,0,0,4.361,3.79391,51182410,70069410,10.98901099,89408.41,,273.66998,572.4563271
1973,234,1,0,0,3.99,3.4711537,45920492,77689416,9.89010989,90703.34,,256.5,506.2712354
1974,234,1,0,0,4.4088,3.8538463,50968090,86659576,9.89010989,89425.7,,,569.9490191
1960,236,1,0,0,2.595,2.2002914,71364780,107893736,18.93726744,142238.0504,19.45122,,501.7277711
1961,236,1,0,0,2.51,2.1420846,78595930,106937304,19.54622183,146391.4625,19.238636,,536.8887547
1962,236,1,0,0,2.395,2.0439413,90679660,105109656,19.25592538,150405.6514,6.5333333,76.64,602.9006169
1963,236,1,0,0,2.742,2.351987,91062070,117064904,17.34214042,148951.8179,14.366667,73.12,611.3525252
1964,236,1,0,0,2.6520002,2.2674026,93911864,113168830,17.39808413,148492.5284,13.25,70.72,632.434945
1965,236,1,0,0,2.589,2.3050816,92487430,114074690,17.39421679,152761.6345,12.15625,69.04,605.4362426
1966,236,1,0,0,2.52,2.2509806,102394984,124658170,17.47139039,156979.6625,9.9,67.2,652.2818457
1967,236,1,0,0,3.272,2.9025805,103472500,169152210,19.63142794,160903.9658,10.375001,65.44,643.0699174
1968,236,1,0,0,3.91,3.4275975,104735120,168605660,18.4519774,149925.195,10.441176,68.816,698.5825164
1969,236,1,0,0,3.675,3.2532787,117092280,158657420,18.48309609,151515.2,11.414474,69.358,772.8088007
1970,236,1,0,0,3.495,3.0737784,113301304,154629230,17.97752809,152839.7,12.202381,69.9,741.3080764
1971,236,1,0,0,3.305,2.9066775,121407950,150281540,17.77777778,158652,12.82353,104.65833,765.2468926
1972,236,1,0,0,4.361,3.9195364,133595896,176628540,19.31818182,150780.96,23.25,120.70625,886.0262993
1973,236,1,0,0,3.99,3.5742574,149588640,172598910,19.31495974,152033.2944,16.82353,128.25,983.9202695
1974,236,1,0,0,4.2084,3.8029702,139793870,181240060,19.77439368,151690.788,,125.25,921.5712559
1960,245,1,0,0,,,194985620,,,,20.4375,,
1961,245,1,0,0,2.51,2.0876825,228535230,196226600,5.162036665,362047.0216,25.316326,,631.230797
1962,245,1,0,0,2.395,2.011186,262084850,189549380,5.147898287,366130,23.458334,54.286667,715.8245705
1963,245,1,0,0,2.742,2.3443506,276868860,215917230,4.468546523,368948.4412,22.30851,54.84,750.4269677
1964,245,1,0,0,2.6520002,2.2455306,279412830,210666510,4.389022243,368931.8406,23.676472,53.04,757.3562357
1965,245,1,0,0,2.589,2.253694,282201000,216405120,4.279523336,383859.0868,21.858334,51.78,735.1682159
1966,245,1,0,0,2.52,2.2219353,303810700,209275500,4.233261343,386574.4416,23.2,50.4,785.9047762
1967,245,1,0,0,3.272,2.8486264,325564000,284828000,4.23572744,400039.2315,23.982145,55.215,813.8301806
1968,245,1,0,0,3.91,3.3836539,301860830,320106880,4.170782571,377783.9706,23.359373,58.65,799.0302752
1969,245,1,0,0,3.675,3.1905146,344604740,303088420,4.273785981,382025.5032,24.007936,55.125,902.0464265
1970,245,1,0,0,3.495,3.076505,337651940,289588700,4.347826087,385496.56,26.595589,53.0075,875.8883348
1971,245,1,0,0,3.305,2.881282,363305440,284415070,4.347826087,395196.12,20.828949,52.88,919.3041673
1972,245,1,0,0,4.361,3.8307445,399567300,341397760,4.347826087,385563.72,29.646667,49.84,1036.319755
1973,245,1,0,0,3.99,3.482315,416419200,338346300,4.53362256,388931.87,20.653334,48.45,1070.673895
1974,245,1,0,0,4.4088,3.570954,396847100,368570660,4.301075269,379830.6,21.598837,50.1,1044.800235
1960,247,1,0,0,2.595,2.2388237,15327866,22818668,54.50507135,37271.76113,16.435484,,411.2460891
1961,247,1,0,0,2.51,2.1869307,21028042,22294782,54.13502372,37809.16418,20.710527,,556.1625721
1962,247,1,0,0,2.395,2.0798686,17571162,21873166,53.92942753,38797,16.1,38.32,452.900018
1963,247,1,0,0,2.742,2.3751974,19257730,24927784,52.42891748,39542.21278,10.900001,36.56,487.0170041
1964,247,1,0,0,2.6520002,2.289705,20270172,24603948,53.0523866,39856.49273,14.5,35.36,508.5789193
1965,247,1,0,0,2.589,2.250066,15266488,24608518,53.24538339,41049.49,9.166667,34.52,371.90445
1966,247,1,0,0,2.52,2.1828947,22509320,24750734,53.6608567,42345.46354,18.416668,34.944,531.5639059
1967,247,1,0,0,3.272,2.9329605,25061328,33610576,55.31914894,43322.72,12.5,34.028797,578.4800216
1968,247,1,0,0,3.91,3.42125,22817274,38338544,55.03412969,42138.5568,13.961539,32.5312,541.4820946
1969,247,1,0,0,3.675,3.2369206,28698480,35634788,55.01279863,41703.5104,15.214287,31.605001,688.1550192
1970,247,1,0,0,3.495,3.058125,30284258,32441548,53.19148936,42864,10.714286,30.989,706.5196435
1971,247,1,0,0,3.305,2.9014192,32944730,36620090,54.25531915,44907.56,11.5625,108.45908,733.6121134
1972,247,1,0,0,4.361,3.932558,36459176,42796536,53.76344086,43614.21,21.9375,124.6,835.9471833
1973,247,1,0,0,3.99,4.152318,40665116,45147940,52.54960529,44863.964,17.375,128.25,906.40934
1974,247,1,0,0,4.4088,3.6376238,36795856,45434190,43.61702128,44090.7,,125.25,834.5491453
1960,310,1,0,0,2.595,1.1872549,3252054,3049939.8,10.76581576,4505,13.785715,,721.8765816
1961,310,1,0,0,2.51,1.1597359,2989912,2997000.2,10.0120048,4165,16.142857,,717.8660264
1962,310,1,0,0,2.395,1.1029606,3145114,2357308.5,11.27324455,3796.599976,18.357141,,828.4027868
1963,310,1,0,0,2.742,1.2627631,3217280,2844506.8,11.76470588,3995,14.642857,,805.3266583
1964,310,1,0,0,2.6520002,1.2213157,3198312,2592144.2,10.97560976,3813,18.571428,,838.7915028
1965,310,1,0,0,2.589,2.3355114,4152419.5,2678146.2,9.638554217,3818,13.055555,,1087.59023
1966,310,1,0,0,3.36,2.9205298,4826732.5,3781157,7.407407407,4179.6,14.736842,,1154.831204
1967,310,1,0,0,3.272,2.8068628,5417581.5,4162235,7.407407407,4667.22,15.650001,,1160.772687
1968,310,1,0,0,,,,,,,13.447916,,
1969,310,1,0,0,,,,,,,,194.775,
1970,310,1,0,0,,,,,,,,213.894,
1971,310,1,0,0,,,,,,,,218.13,
1972,310,1,0,0,,,,,,,,218.05,
1973,310,1,0,0,,,,,,,,204.25,
1974,310,1,0,0,,,,,,,,220.44,
1960,452,1,0,0,,,,,,,,,
1961,452,1,0,0,,,,,,,,,
1962,452,1,0,0,,,,,,,,7.185,
1963,452,1,0,0,,,,,,,,6.855,
1964,452,1,0,0,,,,,,,,6.63,
1965,452,1,0,0,1.0356,0.95464605,,264256,61.2244898,1734.6,,6.4725,
1966,452,1,0,0,1.008,0.92920357,553803.6,255760.08,61.2244898,1724.8,,6.3,321.0827922
1967,452,1,0,0,1.227,1.0763159,553499.1,265195.78,63.26530612,1842.4,,6.135,300.4228723
1968,452,1,0,0,1.173,1.038053,553194.6,285292.2,63.91752577,2056.4,,5.865,269.0111846
1969,452,1,0,0,1.1025,0.98437494,648564,272561.9,63.91752577,2066.1,,5.5125,313.9073617
1970,452,1,0,0,1.0485,0.9117391,567664.9,299940.9,63.91752577,2080.65,,5.2425,272.8305578
1971,452,1,0,0,1.322,1.0212876,569630,375547.16,65.97938144,2318.3,,4.9575,245.7102187
1972,452,1,0,0,1.246,0.97938865,598248.2,354287.62,65.30612245,2361.8,,4.6725,253.3018037
1973,452,1,0,0,1.71,1.2555066,562105.5,405042,66.32653061,2371.6,,4.275,237.0153061
1974,452,1,0,0,2.004,1.3788991,549717.25,438525.3,66.32653061,2303,,3.7575,238.6961572
1960,467,1,0,0,2.595,2.2218628,22177536,16965844,14.20477509,27364.03762,18.838236,,810.4628529
1961,467,1,0,0,2.51,2.1703632,20916568,17104038,15.2653923,28574.43763,21.514286,,732.0027877
1962,467,1,0,0,2.395,2.0641117,20855612,15798467,15.57312307,27643.78076,19.528572,,754.4413762
1963,467,1,0,0,2.742,2.3679538,19949544,17264662,6.403767003,27776.10144,17.47143,,718.2269277
1964,467,1,0,0,2.6520002,2.2752132,18882894,16948202,6.367346983,28354.9525,18.897434,,665.9469452
1965,467,1,0,0,2.589,2.3355114,19553940,17379722,6.111046455,29729.15545,16.782051,,657.7361417
1966,467,1,0,0,2.52,2.2657895,22114708,17345440,5.984307428,30318.57352,20.684212,,729.4112299
1967,467,1,0,0,3.272,2.9621925,21175640,22468018,6.002118395,30521.224,20.09375,,693.8004845
1968,467,1,0,0,3.4735,3.1415615,23321294,22617324,6.039665944,29188.52075,23.11905,,798.9885544
1969,467,1,0,0,3.675,3.3209302,25466948,22766630,6.077213494,27855.8175,19.211111,,914.2416301
1970,467,1,0,0,3.495,3.1271052,25242918,22083576,6.097560976,28342.48,23.980394,,890.6389984
1971,467,1,0,0,3.305,2.9766886,27141962,21121494,6.097560976,28445.8,8.638889,,954.1641297
1972,467,1,0,0,4.361,3.5421402,30392556,24691128,6.024096386,27747.73,17.5,,1095.316842
1973,467,1,0,0,3.99,3.5980065,39572516,24863834,6.024096386,27753.54,12.710526,,1425.85472
1974,467,1,0,0,,,,,,,10.735294,,
1960,469,1,0,0,,,,,,389821.9996,,,
1961,469,1,0,0,2.51,2.4939103,235638800,201546130,17.09798845,383085.9998,,,615.1067909
1962,469,1,0,0,2.395,2.41875,242108830,193289980,17.27115717,376350,,,643.3076392
1963,469,1,0,0,2.742,2.3435898,248578850,185033840,15.11627907,331100,,,750.7666868
1964,469,1,0,0,2.6520002,2.259425,195639500,141943090,13.95348837,327574,,154.7,597.2375707
1965,469,1,0,0,2.589,2.3234618,221552290,180867940,16.09195402,344854.95,,212.2,642.4506593
1966,469,1,0,0,2.52,2.2615385,233677460,176364600,13.63636364,344419.68,,269.7,678.4672119
1967,469,1,0,0,3.272,2.9233444,246651230,191459200,14.28571429,369167.89,,327.2,668.1275286
1968,469,1,0,0,3.91,3.578644,191957070,216795890,14.44444444,360679.5,,312.8,532.2095378
1969,469,1,0,0,3.675,3.2008064,189330260,244490940,14.44444444,330868.8,,303.13,572.2215573
1970,469,1,0,0,3.495,3.0245192,185840340,246147260,15.55555556,340991.1,,293.46,545.0005587
1971,469,1,0,0,3.305,2.8692927,211062660,234598820,14.44444444,344473.2,,283.78998,612.7114098
1972,469,1,0,0,3.6475,3.1814206,220826080,265323790,14.52559301,336708.155,,274.12,655.8382288
1973,469,1,0,0,3.99,3.4935484,202419100,296048770,14.60674157,328943.11,,262.31,615.3620302
1974,469,1,0,0,4.4088,4.335577,189718640,305401000,15.55555556,322192.8,,250.5,588.835753
1960,480,1,0,0,,,,,,37581.1,1.7222222,,
1961,480,1,0,0,2.51,,,,,34137,5.4,,
1962,480,1,0,0,2.626,,,,,30692.9,4.4,38.32,
1963,480,1,0,0,2.742,,9586683,,2.5,27248.8,1.7222222,36.56,351.8203737
1964,480,1,0,0,2.6520002,,10893303,,2.5,28012,8.909091,35.36,388.8798729
1965,480,1,0,0,2.9665003,,13337048,,2.5,27325.2,3.9444444,34.52,488.0860158
1966,480,1,0,0,3.2810001,,15780794,,2.5,26638.4,3,33.6,592.4077272
1967,480,1,0,0,3.5955,,18224538,,2.5,25951.6,7.583333,32.72,702.2510365
1968,480,1,0,0,3.91,,20668284,,2.5,25264.8,6.6499996,31.28,818.0664007
1969,480,1,0,0,3.675,,17595628,,2.5,22644,3.2999997,29.4,777.0547606
1970,480,1,0,0,3.49,,20718262,,3.125,24960.4,12.208334,27.96,830.0452717
1971,480,1,0,0,3.305,2.881282,23840896,24696316,3.75,27276.8,8.25,26.44,874.035664
